Date	Open	High	Low	Close*	Adj Close**	Volume
Feb 18, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	333,490
Feb 17, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	320,950
Feb 16, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	247,274
Feb 15, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	286,649
Feb 14, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	237,255
Feb 13, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	160,931
Feb 12, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	435,781
Feb 11, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	343,798
Feb 10, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	266,304
Feb 09, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	126,218
Feb 08, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	189,115
Feb 07, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	396,252
Feb 06, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	692,373
Feb 05, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	474,776
Feb 04, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	418,938
Feb 03, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	236,381
Feb 02, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	274,100
Feb 01, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	629,834
Jan 31, 2016	0.0003	0.0003	0.0002	0.0003	0.0003	1,750,220
Jan 30, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	943,534
Jan 29, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	1,012,590
Jan 28, 2016	0.0005	0.0005	0.0003	0.0003	0.0003	2,941,270
Jan 27, 2016	0.0004	0.0005	0.0003	0.0005	0.0005	5,266,350
Jan 26, 2016	0.0002	0.0004	0.0002	0.0004	0.0004	4,585,660
Jan 25, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	776,273
Jan 24, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	463,251
Jan 23, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	162,077
Jan 22, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	485,854
Jan 21, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	127,039
